ID Geography,County,State,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018)
05000US26021,Berrien County, MI,44747,44031,46649,47083,48629,51262,2770,2353,2911,2222,2715,3548
05000US48029,Bexar County, TX,49769,50760,52286,53210,54175,54149,1120,929,978,1108,1295,1409
05000US13021,Bibb County, GA,36327,35397,38605,36724,37444,40495,3148,2170,3220,3032,3457,3567
05000US19013,Black Hawk County, IA,45666,51685,50169,50470,49779,51920,2254,2794,2399,3444,2471,2147
05000US42013,Blair County, PA,42164,44019,45432,43443,45957,49942,3453,4070,3540,3931,2207,5629
05000US47009,Blount County, TN,44351,46819,49134,51183,50675,58809,3521,3013,4032,2059,2864,4446
05000US27013,Blue Earth County, MN,51858,48850,48350,53869,56716,58616,3000,4541,3720,4393,5416,4771
05000US16019,Bonneville County, ID,49884,49626,53355,59706,53478,58729,2598,4159,3651,2968,4297,5261
05000US18011,Boone County, IN,,,,,81785,81145,,,,,5801,11373
05000US21015,Boone County, KY,64414,65736,67047,72374,78415,77429,3592,5494,5443,5179,3942,6686
05000US29019,Boone County, MO,48953,50085,50520,52752,51340,54356,3513,3082,3306,4636,2776,3368
05000US22015,Bossier Parish, LA,51796,50704,56140,48163,49038,55922,3249,2963,5480,3262,4843,5906
05000US08013,Boulder County, CO,71604,71540,72009,74615,80834,83755,2063,3599,5099,3337,3127,3581
05000US48037,Bowie County, TX,41142,40493,40662,45997,50573,47134,3266,6851,5314,4711,3994,4912
05000US47011,Bradley County, TN,42722,42563,42922,44853,48857,50560,3788,4452,3065,3202,5506,3023
05000US48039,Brazoria County, TX,66250,74799,71251,74799,82229,73623,3987,3396,4797,4290,4477,4248
05000US48041,Brazos County, TX,37913,40973,44270,41559,45155,50110,3111,2685,4055,2142,3309,2278
05000US12009,Brevard County, FL,46472,47907,50416,51184,52540,57888,1836,1770,1739,1372,1332,2522
05000US25005,Bristol County, MA,53501,58057,60183,66027,67842,66205,2118,2313,2260,2804,2763,2009
05000US36005,Bronx County, NY,33009,33712,35176,37525,37397,38467,1597,1709,1392,1266,1444,1864
05000US36007,Broome County, NY,45560,46776,46152,50463,47758,51125,2594,2902,2449,2339,2719,2910
05000US08014,Broomfield County, CO,,,84921,84349,90939,95800,,,6022,7092,6648,12625
05000US12011,Broward County, FL,50446,51608,53926,54212,56842,57278,817,1046,1562,1603,1319,1415
05000US55009,Brown County, WI,51160,53392,54802,57783,60793,61651,2183,2473,2975,2645,2502,2049
05000US37019,Brunswick County, NC,47334,46721,46640,50692,56181,60496,3780,3161,4671,3689,3843,2848
05000US29021,Buchanan County, MO,43895,46764,49302,48550,46052,55020,3438,4247,2805,4632,3086,5055
05000US42017,Bucks County, PA,73594,77917,80575,79936,84749,88569,2419,2234,2276,2520,3007,1738
05000US21029,Bullitt County, KY,60264,54690,53434,65359,62319,58119,5721,3854,3629,5413,3856,5591
05000US13031,Bulloch County, GA,36153,32841,33477,43982,42138,44179,2799,5906,3878,4583,5934,5008
05000US37021,Buncombe County, NC,46431,47671,44619,50685,50040,53980,2756,2147,2447,1692,2324,3551
