County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chippewa County,Minnesota,1264,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80922,83683,97883,83350
Chisago County,Minnesota,779,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,169820,182008,193175,212000,231800,247833,254700
Christian County,Missouri,622,134880,129375,132867,128350,128808,131942,135733,144858,152533,155567,168025,181067,188800
Christian County,Kentucky,651,#DIV/0!,#DIV/0!,#DIV/0!,73420,85600,76125,71158,83392,91967,102017,99467,100075,122550
Churchill County,Nevada,1131,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,171300,181292,223142,236733,233900
Citrus County,Florida,405,132190,103800,93892,81425,83792,92417,93975,101617,116200,130967,138592,150942,158700
Clackamas County,Oregon,166,299010,274208,258017,233300,242983,273808,292667,312583,346483,381683,406375,423667,445950
Clallam County,Washington,661,232180,235158,204483,190825,189142,194558,201375,220925,234642,258483,284442,297850,317750
Clare County,Michigan,1053,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,68350,57550,64308,64908,69725,72933,79950
Clark County,Nevada,11,210690,133767,125083,111650,119067,153208,172642,188992,201033,226308,258650,274617,286850
Clark County,Washington,149,237760,213367,205667,183467,186892,217100,231742,252942,277792,310058,344542,359575,385700
Clark County,Ohio,411,78880,76367,73158,67892,72850,76600,83975,82700,93800,97292,99492,108708,118600
Clark County,Indiana,486,107100,108183,107400,106242,108567,105650,113567,126142,131942,133483,148958,162083,168550
Clark County,Kentucky,993,118990,118650,122242,118400,118058,117625,115242,119617,131050,141950,155750,154367,157400
Clarke County,Georgia,466,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,139220,161358,155892,164583,184608,183600
Clatsop County,Oregon,973,256680,226133,223983,190917,197650,208592,228125,230375,254708,266792,300392,336125,346850
Clay County,Missouri,263,132440,130183,131233,117650,123542,130700,142567,146925,158317,170875,190617,203775,208450
Clay County,Florida,304,179940,160150,138608,124508,106192,108308,114617,111583,134517,154300,171708,199425,#DIV/0!
Clay County,Minnesota,746,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,144660,147475,168308,177600,175750,184450,192758,204400
Clay County,Iowa,1230,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107671,113367,100967,122708,128717,128742,125000,135700
Clay County,North Carolina,1269,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,152267,155283,166100,172583,221650
Clayton County,Georgia,236,70360,43208,44933,37450,42225,55417,60575,68183,70358,86492,112592,134142,146000
Clearfield County,Pennsylvania,604,#DIV/0!,56960,58950,55083,61225,59692,64167,66650,82217,81850,71825,72683,70850
Clermont County,Ohio,295,132260,128033,127733,126700,123508,131950,138058,141875,154008,160417,164325,178217,186450
Cleveland County,Oklahoma,238,121880,123067,124483,126700,129317,131300,134458,141150,143475,142975,147583,163733,168500
Cleveland County,North Carolina,539,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,65733,64350,74408,82933,91842,91533,106275,108367,102000
Clinton County,New York,603,122340,114700,117433,115992,116533,119600,121742,125633,117667,125900,129100,134483,136300
Clinton County,Michigan,642,129760,110817,112867,117275,121192,128383,142767,141542,154750,161358,175700,186458,191700
Clinton County,Iowa,825,84730,82158,76375,85117,86583,87433,87908,89958,93725,97700,102900,97017,95300
Clinton County,Ohio,905,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,93643,98250,94375,99675,105600,116533,129375,137100
Clinton County,Missouri,1192,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129200,138642,149858,169217,175500
Cobb County,Georgia,81,177930,166300,154867,128883,129000,169858,186333,202050,206675,222250,239350,254575,273900
Cochise County,Arizona,434,167050,163542,151050,135567,131342,121583,129942,126633,125750,130833,147325,163742,162850
Coconino County,Arizona,424,301510,282283,247175,235025,224792,247525,264592,278050,296667,322642,344375,359867,#DIV/0!
Coffee County,Tennessee,787,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,99033,102825,108792,122567,127692,145317,151642,165500
Coffee County,Alabama,816,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,116613,125883,139492,139750
Coffee County,Georgia,899,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,101390,88117,99042,105100
Cole County,Missouri,633,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,120871,125350,124442,130000,128467,135758,139383,148600,156450
Coles County,Illinois,780,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,78540,81892,81142,78733,86833,94450
Collier County,Florida,188,287660,193083,190183,185367,198808,228858,252375,286917,297642,309683,323967,326783,341350
Collin County,Texas,70,192160,190408,197083,194783,199183,220992,239500,264200,285367,308467,316908,322092,336100
Colonial Heights City,Virginia,1223,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,125825,122183,121392,140442,134817,142708,147300,165475,141300
Columbia County,Georgia,448,161420,152392,150408,141367,147983,150958,161258,170275,173883,180675,190217,202067,212100
Columbia County,Florida,679,122570,110792,102708,89033,95467,90892,98300,99242,106642,114008,133917,147242,169900
Columbia County,Pennsylvania,680,103880,108792,113892,116433,116658,108550,116308,118050,123367,121967,123267,132230,#DIV/0!
Columbia County,New York,717,203480,190217,188183,184492,189108,213233,193217,197125,197492,211592,221075,228583,261700
Columbia County,Wisconsin,755,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,151150,165692,173125,189508,187567,197000
Columbia County,Oregon,821,196390,184892,168325,144875,148217,169500,194050,209208,234000,265033,277225,303425,314250
Columbiana County,Ohio,492,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,82650,89967,87217,88700,91933,95542,100908,79200
Colusa County,California,1182,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,173711,175983,214108,233408,262675,274183,#DIV/0!
Comal County,Texas,490,199090,202108,211017,208833,217517,226975,238833,254700,274683,289158,305333,315467,#DIV/0!
Contra Costa County,California,33,335060,243217,272633,250783,284383,385442,425933,453125,486600,534050,582000,604025,624700
Conway County,Arkansas,1184,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87655,89467,93950
Cook County,Illinois,2,244270,200817,183342,161733,153108,170233,191825,196492,188000,199975,222217,236125,250600
Cooke County,Texas,950,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,158033,153192,180600,209975,192525,209800
Cooper County,Missouri,1219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129950,117633,128225,158200
Coos County,Oregon,718,163290,151608,133967,128500,119150,133142,140058,153908,164725,179233,181283,202733,202150
Cortland County,New York,822,100260,96283,102267,112142,112250,108500,102792,103008,115842,113433,117425,115357,#DIV/0!
Coryell County,Texas,641,90030,92050,102308,95075,105750,98833,90208,98658,101517,112625,118450,126933,134800
Coshocton County,Ohio,977,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,77883,84242,83433,80433,82917,94958,112200
Coweta County,Georgia,441,151210,139800,130267,113250,126333,142983,153892,167233,178175,182533,203883,220958,244450
Cowlitz County,Washington,513,172460,164150,156358,139683,135492,147383,160758,176758,192233,212233,236808,261117,288300
Craighead County,Arkansas,542,95670,102058,105467,102450,109692,117708,117417,127650,126383,135125,143150,146158,#DIV/0!
Craven County,North Carolina,509,#DIV/0!,#DIV/0!,150500,141850,141258,134600,142267,144258,138442,147208,155817,156092,161500
Crawford County,Pennsylvania,575,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,77083,73025,73783,87242,87767,88358,90850
Crawford County,Michigan,1258,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,79986,84242,88092,101342,99142,94250
Crittenden County,Arkansas,810,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,112883,112167,126600,120650
Crook County,Oregon,1187,183520,124550,111833,96033,108425,139775,148692,171717,187033,211275,240275,264300,314350
Crow Wing County,Minnesota,720,134710,117125,119433,113667,120033,134283,135375,144858,157833,164800,174275,181292,184450
Cullman County,Alabama,609,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,101980,104075,112600,126517,127250,126233,137350,140725,144950
Culpeper County,Virginia,847,225440,188700,189092,180917,194683,216950,237183,247033,254842,267292,289033,302250,313650
Cumberland County,North Carolina,189,113175,119417,115900,113767,105700,102383,97917,101983,109233,109008,113317,120708,129800
Cumberland County,Maine,216,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,271671,285400,310742,319900
Cumberland County,Pennsylvania,253,#DIV/0!,#DIV/0!,168986,164792,164250,168217,171858,174675,173883,180950,189333,192858,200550
Cumberland County,New Jersey,373,146310,135983,136617,125867,124133,113067,113533,114942,116158,109692,110675,116267,123800
Cumberland County,Tennessee,761,113130,118325,112717,114075,114042,116200,110883,122317,128142,134175,149958,155492,165750
Currituck County,North Carolina,1152,285960,293975,304408,264142,282692,279800,268125,261742,278817,302950,289100,309767,313450
Curry County,New Mexico,832,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,163725,158483,159717,157292,149583,142283,143475,152467,161300
Curry County,Oregon,1169,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,203318,253242,255608,264842,285708,305083,340033,335150
Custer County,Oklahoma,1096,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,153713,150292,147258,158450,165200
Custer County,Colorado,1275,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,206060,222158,225983,254625,267900
Cuyahoga County,Ohio,25,#DIV/0!,98300,94667,81725,83558,89675,91125,94067,102250,111350,116325,123708,134900
Dade County,Georgia,1232,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,117120,118667,145275,126400
Dakota County,Minnesota,160,213920,189817,182917,160733,165200,192658,205933,220750,229217,239125,255675,282167,299600
Dale County,Alabama,814,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,93720,86717,106867,103650
Dallas County,Texas,8,123750,121275,124650,124383,138042,161433,169108,181950,194175,213433,227317,236142,249550
Dallas County,Iowa,692,170080,157433,164642,162450,166142,177917,183117,195242,209608,221092,221900,237742,#DIV/0!
Dane County,Wisconsin,129,#DIV/0!,#DIV/0!,204200,202517,194083,207050,207283,219892,231308,248108,262508,275875,286100
Dare County,North Carolina,1014,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,297600,323150,337783,342700
Darke County,Ohio,784,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,106100,114833,109967,121475,99592,102867,108775,108175,131850
Dauphin County,Pennsylvania,228,140050,139042,136933,132192,132075,134817,132075,137433,136958,136608,141700,147775,153550
Davidson County,Tennessee,90,146170,142958,143167,140033,145225,158875,172717,186275,209708,234800,257192,273542,294350
Davidson County,North Carolina,352,#DIV/0!,#DIV/0!,#DIV/0!,102180,98758,102500,110050,123258,130000,130408,138667,142533,149350
Davie County,North Carolina,921,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,141480,144125,142258,148625,158592,172050,181817,194292,203800
Davis County,Utah,199,214400,210108,207283,195742,200242,218458,222183,225225,244942,268808,299950,321417,338100
Dawson County,Georgia,1171,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,174291,181983,197125,211142,214392,241317,248358,254100
De Kalb County,Indiana,902,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,111250,112333,119583,126008,135542,136250
Decatur County,Indiana,1121,#DIV/0!,#DIV/0!,#DIV/0!,97008,107117,110233,102500,108925,124833,125117,125950,139475,165150
Defiance County,Ohio,946,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90980,80375,85767,94100,90708,97067,96425,96842,99700
Dekalb County,Georgia,80,#DIV/0!,#DIV/0!,97200,79925,75100,117242,133842,166433,167267,186608,199292,215875,244800
DeKalb County,Illinois,505,178990,160858,142525,124442,114183,117500,130158,133850,136767,145875,158733,164700,167350
Del Norte County,California,1073,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,215050,203475,202433,220108,242058,261000
Delaware County,Pennsylvania,104,184280,175725,175542,176208,174267,180542,170258,166017,169408,172225,175350,188917,186200
Delaware County,Ohio,331,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,262820,259783,281292,311392,321258,322000
Delaware County,New York,833,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107867,111417,115542,105575,116600,125733,127517,135250,131200
Denton County,Texas,85,173570,171583,178400,173950,181583,195492,208275,232283,249283,270733,287950,296150,305450
Denver County,Colorado,100,171610,171650,198450,202783,229067,258883,266533,306192,340933,375692,415967,425292,437300
Des Moines County,Iowa,928,75100,74233,69950,76267,80833,85025,82092,95600,92467,102267,97208,103375,88900
Deschutes County,Oregon,370,257980,191717,166800,160158,176408,218592,242625,270533,291775,333142,359742,371550,383300
DeSoto County,Mississippi,358,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,171100,181042,189242,203650
Dickinson County,Michigan,1112,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,73767,72958,80625,91133,102200
Dickinson County,Iowa,1231,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,193292,217575,215400
Dickson County,Tennessee,818,111820,112867,108567,105167,109408,115333,116983,127617,136950,161083,177908,191008,202100
Dinwiddie County,Virginia,1089,150470,149350,139267,133250,128508,131933,128375,139525,139342,147317,161583,178483,190750
District of Columbia,District of Columbia,99,378270,355767,361958,379967,402133,452450,474650,496333,512425,525258,520933,547358,576450
Dodge County,Wisconsin,576,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,124314,122442,125708,131942,139542,150408,160100
Dodge County,Nebraska,982,#DIV/0!,#DIV/0!,#DIV/0!,91060,90242,99650,105833,113025,117208,132858,146867,151275,168350
Dodge County,Minnesota,1198,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,118156,133950,135017,153108,150958,157833,173483,204600,196800
Door County,Wisconsin,1091,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,188800,179425,193725,182508,190900
Dorchester County,South Carolina,419,162940,151183,145208,137267,139200,148150,157842,167208,182742,195975,211542,223042,234850
Dorchester County,Maryland,1034,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,134000,139808,145875,144217,131700
Douglas County,Nebraska,116,126490,124825,125400,123283,128217,130033,133125,140300,147158,154483,169433,187642,193950
Douglas County,Colorado,213,282240,279258,286708,282300,288958,311917,331325,365458,395967,425433,459867,471400,484200
Douglas County,Georgia,427,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,123567,128100,142167,160300,174508,188000
Douglas County,Kansas,484,167540,156050,162158,164400,154708,168675,163167,161825,171617,179117,197342,209317,216350
Douglas County,Oregon,496,163510,144933,134817,122833,122742,123783,137942,143800,153467,168117,178800,194733,219950
Douglas County,Nevada,843,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,349671,394992,418333,460900
Douglas County,Wisconsin,877,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108350,117517,124117,127950,133925,132400
Douglas County,Washington,951,224837.5,232592,225600,214700,223250,236475,232058,242142,260125,282550,309967,336833,352450
Dubois County,Indiana,909,105890,105592,103675,118517,121042,120700,120892,133433,136242,138792,144017,150908,159650
Duchesne County,Utah,1208,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,159413,157508,178975,182950
Dunn County,Wisconsin,881,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,143967,138917,142825,150692,165108,169975,191400
DuPage County,Illinois,47,256650,230367,226750,202725,200367,208150,233725,235167,230267,244075,259642,274592,282750
Durham County,North Carolina,229,158350,158167,152192,148375,146625,151808,158933,173383,183267,199467,218150,232733,248400
Duval County,Florida,54,148140,122058,103850,90292,82100,89892,88600,95475,113483,132050,146217,167008,188200
Eagle County,Colorado,799,#DIV/0!,626150,615092,474658,424008,493425,545292,564833,566492,591408,651408,730875,763600
East Baton Rouge Parish,Louisiana,142,158540,162067,162875,158433,153358,154625,157883,167475,172892,173175,175483,177683,186100
Eaton County,Michigan,494,111400,91900,93333,81092,86075,101483,109825,122392,128775,133867,145900,157583,171450
Eau Claire County,Wisconsin,536,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,139343,149350,158325,164050,175308,186050
Ector County,Texas,415,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,166525,172183,193842,222100,221000
Effingham County,Georgia,797,150830,143508,138742,126975,112025,125917,134050,147833,148108,160158,171983,180000,185500
Effingham County,Illinois,1010,#DIV/0!,#DIV/0!,#DIV/0!,105943,106717,107525,107908,116050,108917,128592,144250,134617,153100
El Dorado County,California,317,371080,317583,301300,262767,262225,324650,353075,377450,402475,435408,474058,484817,457700
El Paso County,Texas,65,#DIV/0!,#DIV/0!,130475,123075,123617,124875,123908,123883,125525,129725,136758,146475,154650
El Paso County,Colorado,93,186760,172433,175217,168333,176492,191808,204442,219350,235117,256092,283517,303333,323600
Elbert County,Colorado,1160,265670,249875,266900,282642,280083,321733,322750,359433,418883,439150,479850,497300,508650
Elkhart County,Indiana,293,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,126200,133317,140775,150192,159967,170150
Elko County,Nevada,827,197480,194650,190817,199317,208942,214858,215092,217883,222092,216483,238042,248017,259900
Ellis County,Texas,390,126110,130600,127675,126417,131142,141000,147000,165975,186550,204333,225158,239100,251250
Ellis County,Kansas,1077,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,147625,142383,152100
Elmore County,Alabama,613,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,145350,149725,156617,159900,172650,158950
Elmore County,Idaho,1102,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,101440,109283,107650,123775,133825,145025,164833,190283,212350
Emmet County,Michigan,1033,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,145840,156858,161525,177442,190175,207100
Erath County,Texas,959,106600,107692,103625,102658,108692,113333,122775,119267,134217,132508,150242,147258,188000
Erie County,New York,46,#DIV/0!,#DIV/0!,121625,117292,122775,125775,124217,126492,131950,139300,149392,158233,170500
Erie County,Pennsylvania,218,#DIV/0!,#DIV/0!,99200,105908,110533,109825,113250,112250,112525,117642,118175,117733,123100
Erie County,Ohio,627,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,116517,117492,130325,125125,133658,145300
Escambia County,Florida,204,127540,124700,112800,111983,109700,114958,111900,116667,132133,142200,149967,162600,177050
Essex County,New Jersey,69,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,321060,323400,342842,353900
Essex County,Massachusetts,72,287640,269775,286067,268608,277100,305708,320150,331650,340550,366117,387100,408142,428850
Fairfax City,Virginia,1164,383860,358217,393008,404175,405700,432442,475958,462842,484425,488342,513950,539833,520950
Fairfax County,Virginia,32,371160,346333,382183,393833,408508,439217,447200,458983,457875,472025,491125,513950,541250
Fairfield County,Connecticut,48,417360,366408,415567,415242,387783,392500,383042,383092,364242,377775,388108,387525,407050
Fairfield County,Ohio,399,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,131225,134083,144008,150358,164800,172100,182308,202942,214350
Fannin County,Georgia,1149,#DIV/0!,203167,162833,150725,150783,150258,170425,192125,199358,220975,233025,261200,242900
Faulkner County,Arkansas,479,127130,126017,131225,130000,135442,140175,132317,137525,139708,141808,149883,160050,170100
Fauquier County,Virginia,700,282290,238358,253758,248458,278717,307767,307858,332442,337167,349467,366650,387967,410550
Fayette County,Kentucky,206,140460,140417,144217,141792,139133,138183,140333,149242,157783,162208,173633,181408,193200
Fayette County,Pennsylvania,418,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75155,76725,83508,78800
Fayette County,Georgia,502,234700,213750,207875,187700,172275,188892,200200,229433,232817,234708,253375,284925,322150
Fayette County,Tennessee,952,151230,158525,162267,154592,152167,156367,164750,156500,171367,189192,218483,229500,231250
Fayette County,Ohio,1067,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83850,98858,105800,110283,112517,125500
Finney County,Kansas,981,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135257,139617,148892,161492,162875,165642,173633,176350
Flagler County,Florida,548,169900,143767,131742,121375,120383,137433,144683,160858,180367,195083,213833,228542,230850
Flathead County,Montana,563,229580,206317,205575,198625,192167,215683,227092,237550,251925,266058,295825,329425,329800
Florence County,South Carolina,416,108660,107208,112883,114075,116783,109083,108992,120058,123683,124592,126725,128867,140700
Floyd County,Georgia,544,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75200,81658,90808,98275,110867,115900,126117,136900
Floyd County,Indiana,646,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,152400,150008,166100,190850
Fluvanna County,Virginia,1122,222460,195583,189183,189325,172758,170292,168200,183817,171708,197950,208000,211025,231400
Fond du Lac County,Wisconsin,516,115030,111575,116650,107258,110367,107783,111650,115117,118192,125975,139642,138450,137500
Ford County,Kansas,1015,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107180,117708,133317,133792,140733,137458,120350
Forsyth County,North Carolina,176,128010,125575,123567,117550,116717,117600,117750,126550,132100,138442,148883,158633,170300
Forsyth County,Georgia,328,245400,236192,219958,193983,203192,231992,257792,267275,277100,294658,314233,328917,341100
Fort Bend County,Texas,101,171410,177042,186242,185700,191308,207617,229333,242633,256900,278517,278033,276300,276700
Franklin County,Ohio,29,127640,125750,124150,114408,121208,128142,136600,146808,151533,160017,170850,185358,202150
Franklin County,Pennsylvania,389,168590,159050,150375,143842,144833,143567,145842,141858,152625,158117,164300,172267,173350
Franklin County,Missouri,520,127280,126367,121475,113908,114650,117792,120142,129600,140475,143808,144292,156917,161000
Franklin County,Washington,619,130820,131583,150325,151650,157958,162658,166983,176175,191683,213883,235333,265692,273600
Franklin County,Massachusetts,662,183240,179183,174200,165942,156175,177167,177325,177633,185042,192950,199892,210308,204900
Franklin County,North Carolina,733,136700,137925,132492,131550,125617,132692,143217,146767,158500,181200,185900,197992,211750
Franklin County,Virginia,760,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,208620,183500,184333,192800,212475,210825,234417,255400
Franklin County,Kentucky,823,#DIV/0!,#DIV/0!,#DIV/0!,109050,111300,106133,107425,114442,118808,122633,131042,145183,158600
Franklin County,Tennessee,923,87760,97942,105742,96808,88825,89050,100892,113325,113475,130258,132908,154425,169600
Franklin County,Kansas,1117,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,99086,92658,106475,114142,125983,135000,140083,141850
Franklin County,Georgia,1174,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,103350,110042,106233,135142,152983,146400
Frederick County,Maryland,257,263850,237567,222350,217425,232025,249725,251783,253317,261058,275633,288692,301133,307300
Frederick County,Virginia,617,200910,174475,166275,161325,176950,191142,197983,206633,221408,233725,247017,254167,257600
Fredericksburg City,Virginia,1141,#DIV/0!,#DIV/0!,#DIV/0!,213400,238825,243975,261633,291875,285983,283700,304158,319708,317500
Freeborn County,Minnesota,1051,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87050,90658,93308,102600,117300
Fremont County,Colorado,845,130600,130775,134025,128000,119050,124633,140692,143817,159592,169017,193058,214383,235350
Fremont County,Wyoming,931,#DIV/0!,168320,178158,165308,173300,175467,181142,190033,198592,184375,196400,208092,208050
Fresno County,California,42,196200,141550,147175,133067,141133,165767,188075,205375,219475,238642,257417,261267,274450
Fulton County,Georgia,44,#DIV/0!,148900,143067,136400,128692,166450,192608,215025,218133,221858,233817,260417,275100
Fulton County,New York,766,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,98892,102083,102508,98833,100875,96975,98867,#DIV/0!
Fulton County,Ohio,896,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,93067,93025,105975,104892,114633,117158,127592,125025,125500
Fulton County,Illinois,972,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,64822,72792,70675,70600,84350
Gage County,Nebraska,1172,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108440,109383,97317,87950
Gallatin County,Montana,568,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,290943,301983,332375,370800,398792,421050
