County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Augusta County,Virginia,652,#DIV/0!,180300,171758,168517,168842,174767,179708,180700,191708,195050,216700,233025,217900
Austin County,Texas,1079,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,189133,207833,196683,223658,222192,265100
Baker County,Florida,1100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129067,136025,146600,159483,183067,196167,210750
Baker County,Oregon,1239,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,138789,113892,119808,146250,142133,171450
Baldwin County,Alabama,316,#DIV/0!,#DIV/0!,132982,130433,138500,143017,148867,160617,167517,174867,188967,209317,219300
Baltimore City,Maryland,94,#DIV/0!,#DIV/0!,#DIV/0!,88400,90950,94542,101058,94417,105500,109267,107533,114075,107350
Baltimore County,Maryland,63,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,223200,223600,231275,233800
Bannock County,Idaho,599,#DIV/0!,135083,130075,115450,132717,137033,137133,137250,140708,142675,160775,177583,202200
Barnstable County,Massachusetts,270,319850,293467,309425,316467,317908,334883,327425,336267,341358,360608,383892,388467,388800
Barron County,Wisconsin,858,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,112327,115808,129842,126175,140208,141600,136000
Barrow County,Georgia,670,121620,110792,103483,77883,77525,98292,113625,126917,140058,152425,168442,182800,189950
Barry County,Michigan,743,#DIV/0!,#DIV/0!,#DIV/0!,86833,95542,112725,118800,126783,131283,140708,154508,164950,176900
Barry County,Missouri,994,#DIV/0!,#DIV/0!,#DIV/0!,119360,97800,96817,100650,93908,107808,109092,113758,130308,126400
Bartow County,Georgia,524,#DIV/0!,#DIV/0!,96763,83925,83642,103950,111067,121225,135058,146725,163075,174642,200300
Bastrop County,Texas,650,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,133200,143508,159308,175600,189858,202567,223100,236300,247750
Baxter County,Arkansas,915,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,117840,127658,135075,136700
Bay County,Florida,341,199930,177483,163550,153475,154325,163175,161417,172967,180392,189792,217117,210417,236450
Bay County,Michigan,493,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,59825,64833,68650,73758,73742,77033,84842,88150,92400
Beaufort County,South Carolina,355,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,252875,256250,268867,288750,294117,314400
Beaver County,Pennsylvania,337,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100067,95200,98467,100825,112017,104275,117958,129300
Becker County,Minnesota,1037,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,186140,177983,196958,191200,210800
Bedford County,Virginia,676,#DIV/0!,189338,200142,176742,179525,168333,172900,179208,184600,189650,198833,209158,227400
Bedford County,Tennessee,865,86120,87275,82650,83308,80117,88350,98500,106083,121808,138025,155900,166667,185050
Belknap County,New Hampshire,737,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,213929,230733,245083,269150
Bell County,Texas,196,111380,113192,112583,114792,117183,113408,113308,124067,129575,137392,146483,155708,164900
Belmont County,Ohio,664,67990,62758,69617,65900,70800,81233,79992,80450,85025,81675,99725,94392,87200
Beltrami County,Minnesota,874,#DIV/0!,123725,116150,111808,123000,127200,130617,135767,152342,143775,151683,157717,169100
Benton County,Arkansas,265,133240,121225,121008,111717,127350,130842,137275,147225,160175,167508,179275,197625,213650
Benton County,Washington,329,159060,164708,170742,169817,176817,179633,183067,196000,213625,234683,265608,301250,310950
Benton County,Oregon,588,252030,244183,246558,242500,245242,252375,265017,276825,294617,315575,347100,363300,387250
Benton County,Minnesota,949,139220,132633,128233,121925,130792,136083,143967,150875,158542,172192,177183,190500,203050
Benton County,Iowa,1115,#DIV/0!,107150,117625,106842,110125,122800,118592,127317,128300,129642,136758,136775,#DIV/0!
Benzie County,Michigan,1221,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,149000,154083,156050,193350,177858,192983,195400
Bergen County,New Jersey,50,436250,397142,405000,395725,381550,393850,404883,408350,416783,431267,445900,451158,467050
Berkeley County,South Carolina,325,148070,138867,135133,128175,129908,142567,148850,165867,177483,187867,204575,216425,227650
Berkeley County,West Virginia,508,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,155000,158800,167675,177400,187300
Berks County,Pennsylvania,157,138670,135175,133542,131075,128517,130150,132575,132283,136967,142125,144775,154317,159750
Bernalillo County,New Mexico,86,182490,175417,172333,165283,164133,170050,174667,178725,181475,186908,193167,208333,220100
Berrien County,Michigan,375,#DIV/0!,100300,102625,99975,99225,111125,115650,120992,124683,137450,145283,162767,167950
Bexar County,Texas,16,133580,135042,135525,135742,140442,150150,158300,168433,175858,180917,191900,201675,210000
Bingham County,Idaho,859,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,123273,129492,134217,135875,140933,151275,160167,178808,192750
Black Hawk County,Iowa,435,#DIV/0!,#DIV/0!,99129,109300,117867,124725,122917,128392,128800,131217,134192,141800,139850
Blair County,Pennsylvania,442,85280,86158,86283,83133,90758,93750,89267,89692,91633,100367,99900,102058,90000
