RegionID,County,State,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
2760,Josephine County,Oregon,601,241000,240400,231700,216700,216000,215200,210900,200100,210300,220100,215500,197000,189900,188300,185300,188500,187900,190800,180300,187900,191400,190700,181800,174300,178300,181300,187800,186200,188200,177300,173800,170100,168800,152400,137800,132100,141100,144000,157000,159200,173000,165600,156000,148300,147100,152800,150600,148700,155500,156800,161600,159200,161700,162000,163200,163200,170400,166500,176200,174700,185200,182300,194900,197500,214000,206500,205300,190200,196400,187800,192600,186800,206300,219500,217900,206700,192100,197300,201800,203600,202200,204300,204500,205100,206300,209900,215800,210800,213800,210400,214900,214300,218500,219500,221000,227400,226900,229000,223600,242300,239400,242100,234700,242600,240800,239000,238300,249600,251800,255200,252300,258700,264500,272800,268900,270200,264400,271600,264400,266100,262700,280500,284700,286600,277100,272100,269900,270900,279300,277700,285400,284700,291000,285400,281000,282900,285500,287100,293300,291700,295700,288800,283300,280100
2853,Talladega County,Alabama,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122500,130700,133100,121300,122300,120300,119400,114300,102100,99100,105500,116400,115900,109200,115300,121400,124200,119200,122200,123700,130900,124200,126900,122700,134400,128900,134000,129000,129700,130900,133500,135700,133800,135600,131500,128700,129500,135600,129500,120300,128500,138500,142500,134300,131700,135900,138500,143700,139000,139200,136100,145100,137900,134900,128800,135400,141600,140100,135700,137800,141300,143800,134100,132900,131400,137600,138500,137600,137900,136400
1630,Clinton County,New York,603,141400,132300,131000,121000,123100,121200,120900,115800,107400,109300,104800,111900,113200,118300,114100,114400,115200,115500,116900,118300,119200,114600,113200,112000,125200,123800,126300,118500,118100,113600,114100,116700,114900,112800,108800,124400,123100,128800,121300,123200,118700,113400,107600,105100,107600,109900,107900,101900,116800,123700,129600,116300,122200,117800,117600,110200,116300,118100,120300,121200,126400,127600,125500,116100,116200,116000,122500,118400,114200,110800,114800,118900,119100,119900,121200,123500,121700,122100,120500,124400,125500,129300,131200,134300,134000,130500,128500,126100,125400,124800,123300,120900,115600,113000,117500,114200,114300,106500,108200,112400,121400,123800,124500,120900,123300,125000,127700,127500,124600,126400,130100,134900,127000,122500,116500,121500,126100,126000,121700,119000,123900,129100,128100,122800,126100,130600,135300,138000,141000,133600,124300,111900,130600,132400,143500,131400,134900,134700,141900,140800,143500,143900,136300,
2902,Clearfield County,Pennsylvania,604,,,,,,,,,,,,,,,,,,64500,56700,51300,54500,57800,62000,58500,60800,58900,64500,58400,61800,53000,53600,54400,61400,60100,57900,54000,58800,59600,61200,56600,49200,48700,52700,52400,55500,54400,60900,58600,62400,65300,67900,59100,56500,54000,63100,61400,63400,62100,65200,62800,61700,60900,58500,59500,57700,61800,59900,54700,56200,57400,63200,63200,62300,67100,65200,68800,66300,66400,61000,59800,59800,66900,69700,71500,66600,72800,71200,67700,59100,59200,63900,63600,68700,65800,66700,65700,72300,73600,76000,77900,81800,86300,86800,91400,101700,106400,103000,82300,80900,79800,89800,80400,80000,78900,84900,79500,74100,68600,68700,69700,67400,69300,71700,74500,74000,72100,71900,75600,73900,73100,72300,75000,76400,81800,79000,76400,69200,68100,75200,71500,67800,59500,67300,74400
2865,Vermilion County,Illinois,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43700,46200,43300,45300,43100,48600,47900,47300,43000,38100,35400,36700,41200,45700,48400,49000,47500,45900,46700,52600,51800,50000,47200,47200,54700,50800,57600,55700,61200,58700,59600,57200,60500,61800,60300,61800,61300,68000,59300,60600,57700,60300,56700,53100,56900,57000,61400,60500,60800,58100,56800,54700,48800,50900,54400,62100,60900,60900,67100,67200,59200,49100,48900,56200,59100,55800,56200,59900,61500,64000,60600,60800,54900,56500,63300,65600,62100,55700,52900,56800,53900,60000,61800,62900
2783,Manitowoc County,Wisconsin,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,92400,88000,87800,94300,93500,94000,84800,89400,88900,92100,87800,88900,93800,95600,98100,93200,91300,84200,90500,96200,97900,92300,93400,102400,107000,100400,95200,94600,99700,102400,109500,102600,97900,90100,94300,90700,85800,86600,89700,87200,82200,83000,82000,86100,83900,92100,88800,93100,99100,105500,105900,101200,101800,99800,99800,103000,110100,121800,122500,117100,108800,110000,110200,116000,116600,118300,116000,116600
1495,Wilson County,North Carolina,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95700,101300,99600,100200,93700,93700,98800,105300,103900,104300,105000,105400,117300,122600,116300,105700,104900,101600,105800,105400,120700,109800,105700,96700,112700,107300,114100,102800,109100,105800,104000,107100,105600,93000,94900,91000,104800,106700,121300,112400,109700,105200,121300,113400,111600,103900,105000,102800,92400,97000,100500,116600,115700,116300,117600,110500,115400,116800,127400,129000,120900,112300,101300,105100,109000,111500,110500,110500,106200,103000,103400,104600,111400,114900,116700,114900,116800,120700,121300,125300,127500,131300,124300,131300,139200,142600,130200,114100,108300,111300,112500,116000,118000,121500,122300,120700,127300,132400,130300,121400,115900,120200,122600,124600,120700,125700,123900,128900,139300
632,Maury County,Tennessee,608,125200,125000,133700,131000,130400,122100,117500,112700,114600,112200,118400,116400,119100,118600,124700,123800,123700,114200,115400,112700,119800,124500,134200,133300,135900,126500,131200,124300,118600,114900,110500,115800,106800,112800,110000,114700,114000,115500,117300,113200,110900,103400,95300,92500,93300,101700,110100,117400,121500,118800,112500,109200,107800,108700,108300,111900,124300,126100,134400,129300,132800,129800,130500,131600,124700,126000,127300,127200,123000,120300,118400,125200,123600,132700,129600,137500,142000,143400,140100,136300,142700,144300,143600,149700,163700,164900,159300,151400,156800,155600,156800,157600,156300,153700,150800,155400,161300,163100,165000,159300,160300,162800,170200,177500,176700,178500,182300,176900,175600,172000,178600,180100,182000,178400,179500,175800,181600,182400,188000,186600,189200,183200,184400,183600,186700,192100,190200,194900,196300,208300,206800,212300,215300,218200,212500,210900,219200,228000,230100,228700,226400,232600,230900,245600
1647,Cullman County,Alabama,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91900,97200,103400,110300,107100,114400,109500,103300,100700,101800,96300,98600,94100,100500,104000,111600,114100,103800,111900,112600,113600,106100,107400,112900,116400,116500,117400,117900,114700,120300,115500,118700,119600,128900,136400,135300,139400,131000,125800,120200,127100,126800,126800,120600,127100,130700,133500,127200,123500,131400,131500,128200,119700,123100,126000,126400,122700,122600,123600,121900,120800,123700,130500,132900,140600,137200,140300,138300,141300,138400,131300,136300,136900,135600,134300,139400,138900,141600,135000,137000,132000,141500,147300,147800,150100,145300,145400,132100,133600,139800,150100
3088,Cattaraugus County,New York,610,67500,69800,74400,70700,72500,68200,66500,63900,63200,64600,60600,58100,61800,60300,68500,64900,68800,66300,69200,68000,66800,64300,66500,65200,68200,67300,61700,58900,57600,60900,64600,67800,72900,75100,77900,81200,78600,76000,70000,60100,62600,64200,68600,66000,65800,70000,75900,81200,85500,80100,79800,74400,74600,70400,72300,72000,73800,73000,73100,72200,74400,74600,73800,74900,76200,72300,69800,71200,76100,79400,78400,79800,74700,81800,77600,77800,68900,74400,71800,71700,64400,66600,67600,68800,65000,65000,76900,83700,82800,72800,69700,73100,75400,74900,68100,66200,69800,73000,73500,70700,72500,71800,77100,73400,75700,72500,85600,86300,88600,82800,81400,79400,75700,76600,76900,76400,75200,76900,81200,81600,79800,79000,87200,89500,93800,92400,99300,100600,103900,103500,106000,110500,107300,101700,93300,93600,99100,101100,96400,87900,87600,85600,87300,85900
