County,State,2013,2014,2015,2016,2017,2018
Monroe County, IN,158600,163000,163500,169000,171800,184800
Monterey County, CA,363800,391200,429100,481000,517200,563000
Montgomery County, OH,107200,106300,111900,113700,118000,125900
Montgomery County, AL,119000,125400,122100,126000,128200,134800
Montgomery County, PA,291700,287900,299700,307500,315900,323400
Montgomery County, TN,147000,144700,155600,159500,167600,181000
Montgomery County, MD,447300,460900,474900,475300,477800,489000
Montgomery County, TX,171300,187200,201300,225600,235400,245000
Montgomery County, VA,187400,206800,212400,221500,238300,215600
Moore County, NC,214300,191100,204900,217600,233800,222300
Morgan County, AL,123600,120900,132000,123500,143000,139700
Morgan County, IN,135400,140400,156900,147100,163600,158400
Morris County, NJ,414000,434700,433400,443100,462400,469900
Multnomah County, OR,274700,290400,321700,367700,393900,422900
Muscogee County, GA,134500,138700,137000,150400,139000,141700
Muskegon County, MI,96200,96200,105400,106500,119900,123300
Muskingum County, OH,96800,111200,116300,125400,112400,120000
Muskogee County, OK,97200,89500,97800,105200,107000,113100
Nacogdoches County, TX,122200,103500,107100,119200,141600,144400
Napa County, CA,443000,511800,555900,599300,628500,665100
Nash County, NC,110500,117200,118200,130400,131700,131700
Nassau County, NY,436000,443200,458800,471900,489900,517500
Nassau County, FL,161600,176000,213500,223100,234000,225300
Natrona County, WY,187800,206600,206400,208800,206200,211000
Navajo County, AZ,98500,104400,120900,98700,138900,124600
Nevada County, CA,337400,347700,383400,381100,437200,456000
New Castle County, DE,241700,242000,250800,253000,255500,269800
New Hanover County, NC,204500,228200,230000,229500,242600,248300
New Haven County, CT,242000,242700,244400,247600,243400,251100
New London County, CT,241100,234900,240900,242000,239400,238400
New York County, NY,848600,888500,867600,1003400,976100,1013400
Newport County, RI,348800,337200,366700,383400,389600,405900
Newport News city, VA,184600,184900,196400,185000,192500,204900
Newton County, GA,103300,112000,128000,142200,148500,165200
Niagara County, NY,106100,105500,115700,122900,124900,132700
Norfolk city, VA,189900,190000,204800,195500,204400,212500
Norfolk County, MA,395000,413000,429200,446100,473400,496600
Northampton County, PA,203000,205700,210600,218000,212000,225000
Northumberland County, PA,108100,107000,116600,118700,115900,119400
Nueces County, TX,107300,112500,122200,130800,138600,141100
Oakland County, MI,172200,192800,217400,224400,243800,258900
Ocean County, NJ,257700,258500,270200,272900,279600,285200
Oconee County, SC,151100,137200,159700,152200,160800,165800
Okaloosa County, FL,184100,186000,204200,209400,209800,232900
Oklahoma County, OK,133100,136000,142200,149700,152300,156800
Oldham County, KY,,,,265900,287800,304200
Olmsted County, MN,172400,174500,182400,192800,224900,229200
Oneida County, NY,113600,116000,117000,125000,124000,135100
Onondaga County, NY,132400,135800,139500,139800,146700,148800
Onslow County, NC,157000,156800,147400,151500,158600,154900
Ontario County, NY,145900,149800,156400,154300,166100,166200
Orange County, NC,270700,281400,278200,304000,279700,327300
Orange County, NY,259300,254700,262500,258800,269100,282200
Orange County, CA,539000,591800,625300,654400,679400,709800
Orange County, FL,158100,171100,190700,214000,234400,259000
Orange County, TX,108700,96600,107100,105300,107100,119500
Orangeburg County, SC,89800,88900,96100,95800,92800,99500
Orleans Parish, LA,183100,192000,216800,219700,227800,242900
Osceola County, FL,134800,138200,160700,184900,197900,218900
Oswego County, NY,92700,96000,102000,101100,103300,111400
Otero County, NM,102700,107700,109000,102700,118000,113100
Ottawa County, MI,150000,158600,165500,175600,190500,213000
Ouachita Parish, LA,130300,125900,130200,144000,151300,163500
Outagamie County, WI,155400,156900,157700,162100,168600,176000
Ozaukee County, WI,230500,243700,250000,270300,291200,295100
Palm Beach County, FL,193000,211200,246200,269600,282900,299800
Parker County, TX,153600,172800,166700,177100,216100,241300
Pasco County, FL,113700,123900,137700,145000,161500,174500
Passaic County, NJ,331900,332800,330800,339900,334100,351500
Paulding County, GA,124200,140300,147800,158800,170400,190100
Payne County, OK,145300,136900,155000,156600,156400,162900
Pennington County, SD,156200,161000,171800,184000,192000,191000
Penobscot County, ME,133000,135500,143100,136300,136300,149500
Peoria County, IL,124200,125000,136500,130500,130900,137000
Philadelphia County, PA,136800,148700,150700,154000,166200,167700
Pickens County, SC,124500,108600,134100,143100,154800,152200
Pierce County, WA,223300,237100,249600,271300,300200,338400
Pike County, KY,73200,70800,73400,,,
Pima County, AZ,155300,158400,165900,170300,182300,198100
Pinal County, AZ,135100,145900,156500,166300,179900,200200
Pinellas County, FL,138000,150900,170500,186500,197300,215800
Pitt County, NC,134200,126400,138200,138400,150800,146300
Placer County, CA,352500,386200,407400,442300,468400,488400
Platte County, MO,188200,202800,197100,224200,219000,235200
Plymouth County, MA,329800,328800,339800,354000,368100,388500
Polk County, OR,192000,220100,216100,241300,254500,284400
Polk County, FL,101800,105400,123100,135300,153700,161300
Polk County, IA,156600,161000,159800,171800,180700,189200
Ponce Municipio, PR,100800,105800,95400,96100,99800,101200
Portage County, OH,142100,149000,165700,150700,156200,166200
Portage County, WI,149800,156800,159900,162000,162000,178700
Porter County, IN,166200,165200,174700,177400,189800,189500
Portsmouth city, VA,166600,171400,162300,174800,175200,182600
Pottawatomie County, OK,94200,113600,105000,117500,118900,126400
Pottawattamie County, IA,121600,129100,136400,136400,141500,141700
Potter County, TX,90400,85300,91300,87800,91200,92500
Prince George's County, MD,247600,254000,272200,284800,299700,320500
Prince William County, VA,339800,341000,369600,366000,378800,394800
Providence County, RI,202400,207200,212000,219500,230700,242900
Pueblo County, CO,141000,137500,148000,156600,163300,173200
Pulaski County, AR,141700,140200,153200,153800,156300,164700
Putnam County, NY,355900,353600,344400,362300,359700,354800
Putnam County, TN,137900,143500,153200,157300,160400,162000
Putnam County, FL,83700,83600,82300,83700,86600,90600
Queens County, NY,439500,447300,487400,508000,545800,577400
Racine County, WI,160600,164400,162000,169100,169500,187300
Raleigh County, WV,102100,99600,105800,117500,101200,105000
Ramsey County, MN,187000,197700,207600,220100,231100,240900
Randall County, TX,148500,152700,154800,161600,173900,172600
Randolph County, NC,120200,110800,121500,116800,124700,128800
Rankin County, MS,151900,155300,155200,158800,160000,169300
Rapides Parish, LA,128700,122300,139400,133400,142200,153900
Rensselaer County, NY,172200,180800,182100,184200,196000,187100
Rice County, MN,166200,195700,185000,205300,205300,218100
Richland County, OH,101400,100400,102600,104100,107900,114600
Richland County, SC,144900,149200,156600,154400,168200,163600
Richmond city, VA,189200,201200,199900,211400,233200,255900
Richmond County, NY,432600,441000,457700,477100,501300,556000
Richmond County, GA,94800,102400,102200,101600,101800,108500
Riley County, KS,174100,183100,187400,193400,200900,216200
Riverside County, CA,236400,279500,312700,329600,352700,364900
Roanoke city, VA,131800,136500,134100,125500,136300,131400
Roanoke County, VA,182200,190100,191200,205400,196700,196400
Robertson County, TN,150500,151000,165700,169500,172300,218500
Robeson County, NC,63600,71600,78000,74200,77100,78900
Rock County, WI,125400,135100,133300,138800,142700,151400
Rock Island County, IL,111100,115900,113400,117000,117300,118100
Rockdale County, GA,129400,137500,149100,166100,155800,178000
Rockingham County, NC,106700,110400,109000,109100,118800,114100
Rockingham County, NH,273800,285000,293100,306000,327500,343700
Rockingham County, VA,201900,207800,193800,215700,221700,209000
Rockland County, NY,413400,414500,430600,431600,439100,454500
Rockwall County, TX,173200,193500,233200,243000,266400,284700
Rogers County, OK,136200,145500,156700,158200,157500,166700
Ross County, OH,106000,106400,117200,118300,122900,142100
Rowan County, NC,136000,130400,121500,131100,130000,137000
Rutherford County, NC,104600,98600,102700,115100,124500,123100
Rutherford County, TN,159200,159500,168600,178400,216600,234300
Sacramento County, CA,238000,273800,301200,326800,353400,376800
Saginaw County, MI,95100,89700,93500,96200,104300,105800
Salem County, NJ,184900,180500,191200,183400,192800,178200
Saline County, AR,136600,138600,147200,154100,154100,157500
Salt Lake County, UT,229200,241500,256800,273700,301700,336500
San Bernardino County, CA,230500,261600,281300,302600,326600,353400
San Diego County, CA,411000,457300,485900,527600,563800,606200
San Francisco County, CA,778000,846800,941400,1024000,1104100,1195700
San Joaquin County, CA,208900,250800,278400,316000,349200,366000
San Juan County, NM,130500,151500,147800,153100,156300,149600
San Juan Municipio, PR,164400,162200,160400,153900,146100,153500
San Luis Obispo County, CA,436000,459900,508200,547200,574400,593100
San Mateo County, CA,748300,836300,917600,1002400,1087100,1209000
San Patricio County, TX,89800,103600,128500,106100,120900,133500
Sandoval County, NM,176700,168300,186200,180200,198800,216800
Sangamon County, IL,130900,132200,133700,140300,140100,143600
Santa Barbara County, CA,437300,476400,547600,531200,567600,629400
Santa Clara County, CA,682300,746500,836800,925700,971300,1110600
Santa Cruz County, CA,535500,615200,668300,712800,775000,815100
Santa Fe County, NM,263900,269300,286200,278000,292600,296100
Santa Rosa County, FL,156400,164000,169200,189100,192900,209000
Sarasota County, FL,172600,186600,217500,235600,253000,261400
Saratoga County, NY,230600,238000,241600,250400,258600,267200
Sarpy County, NE,159400,163200,169100,179400,195700,208400
Schenectady County, NY,165200,161700,167000,168100,164400,174200
Schuylkill County, PA,91700,94800,93400,97600,101900,102300
Scioto County, OH,90600,93600,89500,100300,101100,99700
Scott County, MN,244700,257000,275100,281500,293200,309200
Scott County, IA,146600,144600,154200,162000,158800,171300
Sebastian County, AR,127600,115600,117100,111900,124700,140000
Sedgwick County, KS,123600,128600,129900,132700,141600,147700
Seminole County, FL,165200,183600,196000,229900,236400,267400
Sevier County, TN,158500,154500,166100,164800,185900,186800
Shasta County, CA,209700,226900,238900,237200,248900,265000
Shawnee County, KS,121000,121900,129300,135600,131100,136000
Sheboygan County, WI,146500,143700,145000,154700,154900,167300
Shelby County, AL,192700,191700,197300,199200,207300,217900
Shelby County, TN,123000,130700,135800,141200,148600,157700
Sherburne County, MN,183300,191600,198600,214400,245000,240700
Shiawassee County, MI,100300,102400,113100,114100,133200,125100
Skagit County, WA,246600,258500,255900,279200,303400,336900
Smith County, TX,127700,147000,145500,153100,155900,168300
Snohomish County, WA,277500,304200,338500,362100,407900,455000
Solano County, CA,259800,304100,344900,377900,411700,442700
Somerset County, NJ,400900,392700,420400,422800,424900,436600
Somerset County, PA,103900,94400,99800,104200,110000,106500
Sonoma County, CA,406900,469400,512100,565200,628400,655200
Spalding County, GA,,,,,119100,138300
Spartanburg County, SC,124200,121200,130100,129200,136500,153300
Spokane County, WA,179300,182700,194400,201300,222200,243400
Spotsylvania County, VA,241100,249500,269600,275400,285900,295400
St. Charles County, MO,181600,189600,197300,210600,220100,228800
St. Clair County, AL,129300,128500,153000,155800,145300,172000
St. Clair County, MI,113100,126800,131000,145100,154900,161400
St. Clair County, IL,119500,123600,115000,132700,128500,132200
St. Croix County, WI,198100,208400,215400,226400,248500,261300
St. Francois County, MO,89800,121700,118400,113500,124700,126200
St. Johns County, FL,238400,248800,273000,296100,297600,324000
St. Joseph County, IN,104200,112800,122600,126900,126600,136500
St. Landry Parish, LA,86800,94300,89400,108500,109100,129200
St. Lawrence County, NY,82400,89200,89700,87700,94300,98400
St. Louis city, MO,108100,113800,130800,125800,141400,154800
St. Louis County, MO,170800,173100,186500,189300,197300,210000
St. Louis County, MN,136300,134800,146600,153800,157500,161200
St. Lucie County, FL,125700,131900,149300,166500,179700,214200
St. Mary's County, MD,290400,291300,293700,307900,294000,309800
St. Tammany Parish, LA,189600,204800,204700,210700,214300,228800
Stafford County, VA,312100,315000,318800,337500,346400,348900
Stanislaus County, CA,175000,216000,243500,274300,288200,318900
Stark County, OH,121400,124400,126400,129800,132200,137100
Stearns County, MN,163900,166200,171600,174300,178300,193900
Steuben County, NY,90900,98100,92400,100700,97500,102600
Story County, IA,158100,167000,177400,173800,200300,191300
Strafford County, NH,217800,204800,215900,206200,246100,249500
Suffolk city, VA,228200,237200,234200,247600,252000,265600
Suffolk County, NY,368400,368800,381700,386400,394600,409400
Suffolk County, MA,365600,394800,432400,472500,497000,538000
Sullivan County, NY,167300,161700,168500,167200,177500,179900
Sullivan County, TN,129600,122600,133800,128400,142800,145800
Summit County, OH,134700,129300,139200,141900,143500,151900
Sumner County, TN,174000,178000,188700,210600,238400,250700
Sumter County, SC,117700,111100,100900,110900,123500,113700
Sumter County, FL,218800,224200,243500,249500,259000,255200
Surry County, NC,122000,116400,125200,118100,125300,123100
Sussex County, NJ,267900,265200,267600,265500,268500,269300
Sussex County, DE,222500,221200,234400,254000,276800,254100
Sutter County, CA,177800,202000,230200,254200,278300,314500
Talladega County, AL,93800,92800,99100,95200,103200,115800
Tangipahoa Parish, LA,136300,131700,136700,175700,157500,162800
Tarrant County, TX,138800,145200,153200,168500,186200,210000
Taylor County, TX,95800,110400,114300,108200,122100,130300
Tazewell County, IL,130100,136900,138900,141400,140400,142700
Terrebonne Parish, LA,136400,143500,137900,150600,151100,151400
Thurston County, WA,237000,244100,244800,261700,283400,314900
Tippecanoe County, IN,133300,143400,144100,151100,149800,158600
Toa Alta Municipio, PR,155800,145500,133800,139100,137700,130900
Toa Baja Municipio, PR,139600,134200,135400,127700,116500,122400
Tolland County, CT,247700,253200,246900,250100,243600,262700
Tom Green County, TX,110800,96800,124300,139900,140400,155000
Tompkins County, NY,173100,182100,195100,201400,205300,215800
Tooele County, UT,,,,,224000,238500
Travis County, TX,231700,245600,277100,304100,321400,355200
Troup County, GA,115200,115200,125300,133400,140200,138200
Trujillo Alto Municipio, PR,160000,156700,148700,148100,144400,124400
Trumbull County, OH,96700,98500,99800,106400,105700,105400
Tulare County, CA,160400,170300,174300,186600,204300,220700
Tulsa County, OK,136100,140000,147900,150100,155600,160800
Tuscaloosa County, AL,152100,154800,164700,168300,167400,173800
Tuscarawas County, OH,108500,107800,125100,126600,127100,141100
Twin Falls County, ID,146100,149100,139900,160500,162300,183900
Ulster County, NY,218500,217100,216900,224800,233000,243700
Umatilla County, OR,138600,139700,162500,146800,172000,185900
Union County, NC,191100,209700,216800,223300,232300,269900
Utah County, UT,221900,238800,253400,278000,297900,332900
Valencia County, NM,132900,129600,129700,140600,131100,141500
Van Buren County, MI,113600,121600,122100,131300,136200,150400
Vanderburgh County, IN,113600,119700,118600,124700,131700,139300
Ventura County, CA,443700,483100,528700,561400,592500,614400
Vermilion County, IL,72000,76400,73800,79900,77900,85000
Victoria County, TX,116600,123600,134100,145800,140300,144400
Vigo County, IN,90500,90000,88000,100100,93900,98200
Virginia Beach city, VA,259200,261800,262900,271400,282300,285400
Volusia County, FL,123400,133700,141900,162700,173300,193800
Wagoner County, OK,143700,141600,152100,157600,160600,164700
Wake County, NC,224100,237400,252500,268400,276000,301900
Walker County, AL,82400,78900,90500,89100,104100,109900
Walker County, TX,100600,145400,100500,147200,156400,169400
Walker County, GA,93300,100700,126200,113400,120500,106400
Walton County, FL,,,,224000,227900,256000
Walton County, GA,139900,154800,161300,168900,187300,214900
Walworth County, WI,185700,193300,188700,195700,203500,205000
Ward County, ND,214800,206800,216600,214800,206600,204400
Warren County, OH,187100,188700,206000,216700,213500,237500
Warren County, NY,186300,197100,187800,197300,194200,195200
Warren County, NJ,255400,246600,256000,252200,271900,269900
Warren County, KY,139500,146200,144100,157500,166600,180300
Washington County, WI,212600,205100,219100,223100,232300,241500
Washington County, OR,277000,291500,322400,361400,394000,417100
Washington County, AR,148600,159800,159600,168100,172200,169800
Washington County, PA,145300,152100,165200,167100,171100,165000
Washington County, RI,317800,298300,321700,323200,339400,356000
Washington County, MN,230800,254400,266700,274600,288600,298400
Washington County, TN,142200,147200,152600,163700,162500,166700
Washington County, MD,203600,201800,206900,202700,219100,211600
Washington County, UT,204300,221800,231400,266200,279800,313000
Washoe County, NV,201700,233300,268400,299100,331200,363000
Washtenaw County, MI,207500,212400,234200,244700,258700,280500
Waukesha County, WI,246200,251700,261400,273000,279200,290500
Wayne County, OH,130700,139900,138700,139600,149600,155800
Wayne County, NC,117700,105700,119600,127800,117600,132700
Wayne County, NY,118000,117100,120900,119400,125000,130600
Wayne County, MI,78100,84900,92400,105300,114400,120700
Wayne County, IN,87900,90700,102400,98700,105900,92000
Webb County, TX,107800,108600,117600,114000,133200,122300
Weber County, UT,168000,171400,172200,189400,221000,245500
Weld County, CO,195200,212000,242700,274200,295100,325400
Westchester County, NY,493800,501100,514700,516500,547800,560800
Westmoreland County, PA,139800,141000,142100,149700,151200,159600
Whatcom County, WA,278600,273500,293700,313500,355500,362500
White County, AR,103600,131200,104900,117300,118400,123300
Whitfield County, GA,119800,118600,130600,127900,132400,131000
Wichita County, TX,88100,91300,98400,95000,100700,99500
Wicomico County, MD,166000,174400,176000,173700,167400,173700
Wilkes County, NC,102400,115700,126000,130400,135400,109000
Will County, IL,203000,209400,213700,224600,230300,242800
Williamson County, TN,330800,352000,379900,427800,451400,462000
Williamson County, IL,102400,108500,97400,109800,126600,121200
Williamson County, TX,187900,212300,227000,242000,272500,283000
Wilson County, NC,113900,124300,116500,121100,123300,121800
Wilson County, TN,201700,207200,233400,234800,260200,276700
Windham County, CT,197300,187400,198000,203000,198600,207300
Winnebago County, WI,143400,142300,144200,146300,157800,149200
Winnebago County, IL,116600,108200,117800,117400,118300,121800
Wise County, TX,,,,,160800,175700
Wood County, OH,147300,147500,156700,160200,172900,167400
Wood County, WI,120800,124600,127600,134400,135500,129400
Wood County, WV,105500,105600,110600,121500,130700,128500
Woodbury County, IA,103300,103200,113900,120100,123200,128100
Worcester County, MA,248800,255500,257400,269700,281100,291800
Wright County, MN,187800,200900,211100,227800,228900,253400
Wyandotte County, KS,90000,87200,89300,93300,108400,107200
Yakima County, WA,159800,156700,163200,166300,177700,186500
Yamhill County, OR,214600,222900,238900,275500,308700,317100
Yavapai County, AZ,173500,192700,216300,227500,260900,261700
Yellowstone County, MT,193200,194900,209300,221600,225500,231000
Yolo County, CA,331200,349000,366100,408500,430400,461800
York County, SC,157500,162900,171200,180700,199400,219500
Yuba County, CA,169800,169700,206800,253800,253000,273600
Yuma County, AZ,108800,108900,119400,123300,132500,140600
