County,State,2013,2014,2015,2016,2017,2018
Carbon County, PA,64786,64441,63960,63594,63853,64227
Carolina Municipio, PR,169597,165820,161884,158457,154489,147661
Carroll County, GA,112355,114093,114545,116261,117812,118121
Carroll County, MD,167564,167830,167627,167656,167781,168429
Carteret County, NC,68434,68811,68879,68890,68881,69524
Carver County, MN,95562,97338,98741,100262,102119,103551
Cascade County, MT,82384,82344,82278,81755,81654,81643
Cass County, MO,100641,100889,101603,102845,103724,104954
Cass County, ND,162829,167005,171512,175249,177787,181516
Catawba County, NC,154810,154534,155056,156459,157974,158652
Catoosa County, GA,65311,65621,66050,66398,66550,67420
Cattaraugus County, NY,78892,78600,77922,77677,77348,76840
Cayuga County, NY,79477,78823,78288,77861,77603,77145
Cecil County, MD,101913,102383,102382,102603,102746,102826
Centre County, PA,155403,158742,160580,161464,162660,162805
Champaign County, IL,204897,207133,208861,208419,209399,209983
Charles County, MD,152864,154747,156118,157705,159700,161503
Charleston County, SC,372803,381015,389262,396484,401438,405905
Charlotte County, FL,164736,168474,173115,178465,182033,184998
Chatham County, GA,278434,283379,286956,289082,290501,289195
Chatham County, NC,66817,68698,70928,72243,71472,73139
Chautauqua County, NY,133080,132053,130779,129504,129046,127939
Chaves County, NM,65823,65878,65764,65282,64866,64689
Chelan County, WA,73967,74588,75644,76338,76533,77036
Chemung County, NY,88506,87770,87071,86322,85557,84254
Cherokee County, GA,225106,230985,235900,241689,247573,254149
Chesapeake city, VA,230571,233371,235429,237940,240397,242634
Cheshire County, NH,76610,76115,75909,75774,75960,76493
Chester County, PA,509468,512784,515939,516312,519293,522046
Chesterfield County, VA,327745,332499,335687,339009,343599,348556
Chittenden County, VT,159515,160531,161382,161531,162372,164572
Christian County, KY,74167,74250,73309,72351,70416,71671
Christian County, MO,80899,82101,83279,84401,85432,86983
Citrus County, FL,139271,139377,141058,143621,145647,147929
Clackamas County, OR,388263,394972,401515,408062,412672,416075
Clallam County, WA,72312,72715,73486,74570,75474,76737
Clark County, IN,112938,114262,115371,116031,116973,117360
Clark County, NV,2027868,2069681,2114801,2155664,2204079,2231647
Clark County, OH,136167,136554,135959,134786,134557,134585
Clark County, WA,443817,451008,459495,467018,474643,481857
Clarke County, GA,121265,120938,123912,124707,127064,127330
Clay County, FL,196399,199798,203967,208311,212230,216072
Clay County, MO,230473,233682,235637,239085,242874,246365
Clayton County, GA,264220,267542,273955,279462,285153,289615
Clearfield County, PA,81174,81191,80994,80596,79685,79388
Clermont County, OH,200218,201560,201973,203022,204214,205466
Cleveland County, NC,97047,97076,96879,97144,97334,97645
Cleveland County, OK,269340,269908,274458,278655,279641,281669
Clinton County, MI,76739,77297,77390,77888,78443,79332
Clinton County, NY,81591,81632,81251,81073,80980,80695
Cobb County, GA,717190,730981,741334,748150,755754,756865
Cochise County, AZ,129473,127448,126427,125770,124756,126770
Coconino County, AZ,136539,137682,139097,140908,140776,142854
Cole County, MO,76699,76557,76720,76631,76708,76796
Collier County, FL,339642,348777,357305,365136,372880,378488
Collin County, TX,854778,885241,914127,939585,969603,1005146
Columbia County, FL,67543,67857,68348,69299,69612,70503
Columbia County, GA,135416,139257,144052,147450,151579,154291
Columbia County, PA,66797,67122,66672,66420,65932,65456
Columbiana County, OH,105893,105686,104806,103685,103077,102665
Comal County, TX,118480,123694,129048,134788,141009,148373
Comanche County, OK,124937,125033,124648,122136,121526,120422
Contra Costa County, CA,1094205,1111339,1126745,1135127,1147439,1150215
Cook County, IL,5240700,5246456,5238216,5203499,5211263,5180493
Coryell County, TX,76192,75562,75503,74686,74913,74808
Coweta County, GA,133180,135571,138427,140526,143114,145864
Cowlitz County, WA,101860,102133,103468,105160,106910,108987
Craighead County, AR,101488,102518,104354,105835,107115,108558
Craven County, NC,104489,104510,103451,103445,102578,102912
Crawford County, PA,87376,87175,86484,86257,86159,85063
Creek County, OK,70470,70632,70892,71312,71704,71604
Cullman County, AL,80811,81289,82005,82471,82755,83442
Cumberland County, ME,285456,287797,289977,292041,292500,293557
Cumberland County, NC,325871,326328,323838,327127,332546,332330
Cumberland County, NJ,157332,157389,155854,153797,152538,150972
Cumberland County, PA,241212,243762,246338,248506,250066,251423
Cuyahoga County, OH,1263154,1259828,1255921,1249352,1248514,1243857
Dakota County, MN,408509,412529,414686,417486,421751,425423
Dallas County, IA,74641,77400,80133,84516,87235,90180
Dallas County, TX,2480331,2518638,2553385,2574984,2618148,2637772
Dane County, WI,509939,516284,523643,531273,536416,542364
Darlington County, SC,67935,67799,67548,67234,67265,66802
Dauphin County, PA,270937,271453,272983,273707,275710,277097
Davidson County, NC,163420,164072,164622,164926,165466,166614
Davidson County, TN,658602,668347,678889,684410,691243,692587
Daviess County, KY,98218,98275,99259,99674,100374,101104
Davis County, UT,322094,329692,336043,342281,347637,351713
DeKalb County, AL,71013,71065,71130,70900,71617,71385
DeKalb County, GA,713340,722161,734871,740321,753253,756558
DeKalb County, IL,104741,105462,104352,104528,104733,104143
Delaware County, IN,117484,117074,116852,115603,115184,114772
