County,State,2013,2014,2015,2016,2017,2018
Monmouth County, NJ,629672,629279,628715,625846,626351,621354
Monongalia County, WV,102274,103463,104236,104622,105030,106420
Monroe County, FL,76351,77136,77482,79077,77013,75027
Monroe County, IN,141888,143339,144705,145496,146986,146917
Monroe County, MI,150376,149824,149568,149208,149649,150439
Monroe County, NY,749606,749857,749600,747727,747642,742474
Monroe County, PA,167148,166314,166397,166098,168046,169507
Monterey County, CA,428826,431344,433898,435232,437907,435594
Montgomery County, AL,226659,226189,226519,226349,226646,225763
Montgomery County, MD,1016677,1030447,1040116,1043863,1058810,1052567
Montgomery County, OH,535846,533116,532258,531239,531542,532331
Montgomery County, PA,812376,816857,819264,821725,826075,828604
Montgomery County, TN,184119,189961,193479,195734,200182,205950
Montgomery County, TX,499137,518947,537559,556203,570934,590925
Montgomery County, VA,96207,97244,97653,98602,98559,98985
Moore County, NC,91587,93077,94352,95776,97264,98682
Morgan County, AL,119787,119607,119565,119012,118818,119089
Morgan County, IN,69782,69693,69648,69698,69713,70116
Morris County, NJ,499397,499727,499509,498423,499693,494228
Multnomah County, OR,766135,776712,790294,799766,807555,811880
Muscogee County, GA,202824,200887,200579,197485,194058,194160
Muskegon County, MI,171008,172344,172790,173408,173693,173588
Muskingum County, OH,85231,85818,86290,86068,86149,86183
Muskogee County, OK,70303,69966,69699,69477,69086,68362
Nacogdoches County, TX,65330,65301,65664,65806,65580,65711
Napa County, CA,140326,141667,142456,142166,140973,139417
Nash County, NC,95093,94357,93919,94005,93991,94016
Nassau County, FL,75710,76619,78444,80622,82721,85832
Nassau County, NY,1352146,1358627,1361350,1361500,1369514,1358343
Natrona County, WY,80973,81624,82178,81039,79547,79115
Navajo County, AZ,107322,108101,108277,110026,108956,110445
Nevada County, CA,98200,98893,98877,99107,99814,99696
New Castle County, DE,549684,552778,556779,556987,559793,559335
New Hanover County, NC,213267,216298,220358,223483,227198,232274
New Haven County, CT,862287,861277,859470,856875,860435,857620
New London County, CT,274150,273676,271863,269801,269033,266784
New York County, NY,1626159,1636268,1644518,1643734,1664727,1628701
Newport County, RI,82397,82358,82423,82784,83460,82542
Newport News city, VA,182020,182965,182385,181825,179388,178626
Newton County, GA,102446,103675,105473,106999,108078,109541
Niagara County, NY,214249,213525,212652,211758,211328,210433
Norfolk city, VA,246139,245428,246393,245115,244703,244076
Norfolk County, MA,687802,692254,696023,697181,700322,705388
Northampton County, PA,299791,300654,300813,302294,303405,304807
Northumberland County, PA,94076,93944,93246,92541,92029,91083
Nueces County, TX,352107,356221,359715,361350,361221,362265
Oakland County, MI,1231640,1237868,1242304,1243970,1250836,1259201
Ocean County, NJ,583414,586301,588721,592497,597943,601651
Oconee County, SC,75045,75192,75713,76355,77270,78374
Okaloosa County, FL,193811,196512,198664,201170,202970,207269
Oklahoma County, OK,755245,766215,776864,782970,787958,792582
Oldham County, KY,,,,65560,66415,66470
Olmsted County, MN,149226,150287,151436,153102,154930,156277
Oneida County, NY,233585,232871,232500,231190,231332,229577
Onondaga County, NY,468387,468196,468463,466194,465398,461809
Onslow County, NC,185220,187589,186311,187136,193893,197683
Ontario County, NY,109103,109707,109561,109828,109899,109864
Orange County, CA,3114363,3145515,3169776,3172532,3190400,3185968
Orange County, FL,1225267,1253001,1288126,1314367,1348975,1380645
Orange County, NC,140352,140420,141354,141796,144946,146027
Orange County, NY,375592,376099,377647,379210,382226,381951
Orange County, TX,82957,83433,84260,84964,85047,83572
Orangeburg County, SC,90942,90090,89208,87903,87476,86934
Orleans Parish, LA,378715,384320,389617,391495,393292,391006
Osceola County, FL,298504,310211,323993,336015,352180,367990
Oswego County, NY,121165,120913,120146,118987,118478,117898
Otero County, NM,65616,65082,64362,65410,65817,66781
Ottawa County, MI,272701,276292,279955,282250,286383,290494
Ouachita Parish, LA,156220,156325,156761,156983,155874,154475
Outagamie County, WI,180345,182006,183245,184526,186059,187365
Ozaukee County, WI,87054,87470,87850,88314,88429,89147
Palm Beach County, FL,1372171,1397710,1422789,1443810,1471150,1485941
Parker County, TX,121418,123164,126042,129441,133463,138371
Pasco County, FL,475502,485331,497909,512368,525643,539630
Passaic County, NJ,505672,508856,510916,507945,512607,503310
Paulding County, GA,146950,148987,152238,155825,159445,164044
Payne County, OK,79066,80264,80850,81131,81575,82040
Pennington County, SD,105761,108242,108702,109372,110141,111729
Penobscot County, ME,153364,153414,152692,151806,151957,151096
Peoria County, IL,188429,187319,186221,185006,183011,180621
Philadelphia County, PA,1553165,1560297,1567442,1567872,1580863,1584138
Pickens County, SC,119829,120368,121691,122863,123479,124937
Pierce County, WA,819743,831928,843954,861312,876764,891299
Pike County, KY,63380,63034,61792,,,
Pima County, AZ,996554,1004516,1010025,1016206,1022769,1039073
Pinal County, AZ,389350,401918,406584,418540,430237,447138
Pinellas County, FL,929048,938098,949827,960730,970637,975280
Pitt County, NC,174263,175354,175842,177220,179042,179914
Placer County, CA,367309,371694,375391,380531,386166,393149
Platte County, MO,93310,94788,96096,98309,101187,102985
Plymouth County, MA,501915,507022,510393,513565,515142,518132
Polk County, FL,623009,634638,650092,666149,686483,708009
Polk County, IA,451677,459862,467711,474045,481830,487204
Polk County, OR,76794,77916,79391,81823,83696,85234
Ponce Municipio, PR,157118,153540,149028,145278,140859,133191
Portage County, OH,163862,161882,162275,161921,162277,162927
Portage County, WI,70380,70482,70408,70447,70474,70942
Porter County, IN,166557,167076,167688,167791,168404,169594
Portsmouth city, VA,96205,96004,96201,95252,94572,94632
Pottawatomie County, OK,71158,71811,71875,72290,72226,72679
Pottawattamie County, IA,92728,93128,93671,93582,93386,93533
Potter County, TX,121661,121627,121802,120832,120458,119648
Prince George's County, MD,890081,904430,909535,908049,912756,909308
Prince William County, VA,438580,446094,451721,455210,463023,468011
Providence County, RI,628600,631974,633473,633673,637357,636084
Pueblo County, CO,161451,161875,163591,165123,166475,167529
Pulaski County, AR,391284,392702,392664,393250,393956,392680
Putnam County, FL,72577,72143,72023,72277,73464,74163
Putnam County, NY,99645,99487,99042,98900,99323,98892
Putnam County, TN,73525,74165,74553,75931,77674,78843
Queens County, NY,2296175,2321580,2339150,2333054,2358582,2278906
Racine County, WI,195041,195163,195080,195140,196071,196584
Raleigh County, WV,78833,78241,77510,76601,75022,74254
Ramsey County, MN,526714,532655,538133,540649,547974,550210
Randall County, TX,126474,128220,130269,132501,134442,136271
Randolph County, NC,142577,142778,142799,143416,143282,143351
Rankin County, MS,146767,148070,149039,150228,152080,153902
Rapides Parish, LA,132723,132488,132141,132424,131648,130562
Rensselaer County, NY,159918,159774,160266,160070,159722,159442
Rice County, MN,65049,65151,65400,65622,65968,66523
Richland County, OH,121773,121942,121707,121107,120589,121099
Richland County, SC,399256,401566,407051,409549,411592,414576
Richmond city, VA,214114,217853,220289,223170,227032,228783
Richmond County, GA,202003,201368,201793,201647,201800,201554
Richmond County, NY,472621,473279,474558,476015,479458,476179
Riley County, KS,75394,75194,75247,73343,74172,73703
Riverside County, CA,2292507,2329271,2361026,2387741,2423266,2450758
Roanoke city, VA,98465,99428,99897,99660,99837,99920
Roanoke County, VA,93524,93785,94409,94031,93730,94073
Robertson County, TN,67383,68079,68570,69165,70177,71012
Robeson County, NC,134841,134760,134197,133235,132606,131831
Rock County, WI,160739,161188,161448,161620,162309,163129
Rock Island County, IL,147258,146063,146133,144784,144808,143477
Rockdale County, GA,86919,87754,88856,89355,90312,90594
Rockingham County, NC,91878,91696,91758,91393,90949,90690
Rockingham County, NH,299134,300621,301777,303251,306363,309176
Rockingham County, VA,77741,78171,78593,79744,80227,81244
Rockland County, NY,320903,323866,326037,326780,328868,325695
Rockwall County, TX,85245,87809,90861,93978,96788,100657
Rogers County, OK,89044,89815,90802,91766,91444,91984
Ross County, OH,77910,77159,77170,77000,77313,76931
Rowan County, NC,138323,138630,139142,139933,140644,141262
Rutherford County, NC,66956,66600,66390,66421,66551,66826
Rutherford County, TN,281029,288906,298612,308251,317157,324890
Sacramento County, CA,1462131,1482026,1501335,1514460,1530615,1540975
Saginaw County, MI,196542,195012,193307,192326,191934,190800
Salem County, NJ,65166,64715,64180,63436,62792,62607
Saline County, AR,114404,115719,117460,118703,119323,121421
Salt Lake County, UT,1079721,1091742,1107314,1121354,1135649,1152633
San Bernardino County, CA,2088371,2112619,2128133,2140096,2157404,2171603
San Diego County, CA,3211252,3263431,3299521,3317749,3337685,3343364
San Francisco County, CA,837442,852469,864816,870887,884363,883305
San Joaquin County, CA,704379,715597,726106,733709,745424,752660
San Juan County, NM,126503,123785,118737,115079,126926,125043
San Juan Municipio, PR,374682,365575,355074,347052,337288,320967
San Luis Obispo County, CA,276443,279083,281401,282887,283405,284010
San Mateo County, CA,747373,758581,765135,764797,771410,769545
San Patricio County, TX,66137,66915,67357,67655,67215,66893
Sandoval County, NM,136575,137608,139394,142025,142507,145179
Sangamon County, IL,199145,198997,198712,197499,196452,195348
Santa Barbara County, CA,435697,440668,444769,446170,448150,446527
Santa Clara County, CA,1862041,1894605,1918044,1919402,1938153,1937570
Santa Cruz County, CA,269419,271804,274146,274673,275897,274255
Santa Fe County, NM,147423,148164,148686,148651,148750,150056
Santa Rosa County, FL,161096,163422,167040,170497,174272,179349
Sarasota County, FL,390429,396962,405549,412569,419119,426718
Saratoga County, NY,223865,224921,226249,227053,229869,230163
Sarpy County, NE,169331,172193,175692,179023,181439,184459
Schenectady County, NY,155333,155735,154604,154553,155565,155350
Schuylkill County, PA,146920,145797,144590,143573,142569,142067
Scioto County, OH,78153,77258,76825,76088,75929,75502
Scott County, IA,170385,171387,172126,172474,172509,173283
Scott County, MN,137232,139672,141660,143680,145827,147381
Sebastian County, AR,127342,126776,127780,127793,128107,127753
Sedgwick County, KS,505415,508803,511574,511995,513687,513607
Seminole County, FL,436041,442516,449144,455479,462659,467832
Sevier County, TN,93570,95110,95946,96673,97638,97892
Shasta County, CA,178980,179804,179533,179631,179921,180040
Shawnee County, KS,178831,178406,178725,178146,178187,177499
Sheboygan County, WI,114922,115290,115569,115427,115344,115456
Shelby County, AL,204180,206655,208713,210622,213605,215707
Shelby County, TN,939465,938803,938069,934603,936961,935764
Sherburne County, MN,90158,91126,91705,93528,94570,96036
Shiawassee County, MI,68900,68933,68619,68554,68446,68192
Skagit County, WA,118837,120365,121846,123681,125619,128206
Smith County, TX,216080,218842,222936,225290,227727,230221
Snohomish County, WA,745913,759583,772501,787620,801633,814901
Solano County, CA,424788,431131,436092,440207,445458,446610
Somerset County, NJ,330585,332568,333654,333751,335432,331164
Somerset County, PA,76520,76218,75522,75061,74501,73952
Sonoma County, CA,495025,500292,502146,503070,504217,499942
Spalding County, GA,,,,,65380,66100
Spartanburg County, SC,290969,293542,297302,301463,306854,313888
Spokane County, WA,479398,484318,490945,499072,506152,514631
Spotsylvania County, VA,127348,129188,130475,132010,133033,134238
St. Charles County, MO,373495,379493,385590,390918,395504,399182
St. Clair County, AL,86308,86697,87074,88019,88199,88690
St. Clair County, IL,266955,265729,264052,262759,262479,261059
St. Clair County, MI,160469,160078,159875,159587,159350,159337
St. Croix County, WI,85930,86759,87513,88029,88703,89694
St. Francois County, MO,66215,65960,66520,66627,66705,66692
St. Johns County, FL,209647,217919,226640,235087,243812,254261
St. Joseph County, IN,266709,267618,268441,269141,270434,270771
St. Landry Parish, LA,83454,83709,83848,83883,83497,82764
St. Lawrence County, NY,111963,111400,111007,110038,109623,108047
St. Louis city, MO,318416,317419,315685,311404,308626,302838
St. Louis County, MN,200540,200949,200431,199980,200000,199754
St. Louis County, MO,1001444,1001876,1003362,998581,996726,996945
St. Lucie County, FL,286832,291028,298563,306507,313506,321128
St. Mary's County, MD,109633,110382,111413,112587,112667,112664
St. Tammany Parish, LA,242333,245829,250088,253602,256327,258111
Stafford County, VA,136788,139992,142003,144361,146649,149960
Stanislaus County, CA,525491,531997,538388,541560,547899,549815
Stark County, OH,375432,375736,375165,373612,372542,371574
Stearns County, MN,152092,152912,154708,155652,157822,159256
Steuben County, NY,98650,98394,97631,96940,96281,95796
Story County, IA,92406,94073,96021,97090,97502,98105
Strafford County, NH,124593,125604,126825,127428,128613,130090
Suffolk city, VA,85728,86806,88161,89273,90237,91185
Suffolk County, MA,755503,767254,778121,784230,797939,807252
Suffolk County, NY,1499738,1502968,1501587,1492583,1492953,1481093
Sullivan County, NY,76665,75943,74877,74801,75485,75498
Sullivan County, TN,156595,157047,156791,156667,157158,157668
Summit County, OH,541824,541943,541968,540300,541228,541918
Sumner County, TN,168888,172706,175989,180063,183545,187149
Sumter County, FL,107056,114350,118891,123996,125165,128754
Sumter County, SC,108123,107919,107480,107396,106847,106512
Surry County, NC,73050,72968,72743,72113,72224,71948
Sussex County, DE,206649,210849,215622,220251,225322,229286
Sussex County, NJ,145992,144909,143673,142522,141682,140799
Sutter County, CA,95350,95847,96463,96651,96648,96807
Talladega County, AL,81096,81322,80862,80103,80065,79828
Tangipahoa Parish, LA,125412,127049,128755,130710,132497,133777
Tarrant County, TX,1911541,1945360,1982498,2016872,2054475,2084931
Taylor County, TX,134117,135143,136051,136535,136290,137640
Tazewell County, IL,136352,135707,134800,134385,133526,132328
Terrebonne Parish, LA,112749,113328,113972,113220,112086,111021
Thurston County, WA,262388,265851,269536,275222,280588,286419
Tippecanoe County, IN,180174,183074,185826,188059,190587,193048
Toa Alta Municipio, PR,75292,74837,74368,73980,73217,71094
Toa Baja Municipio, PR,85971,84165,82065,80207,78092,74623
Tolland County, CT,151377,151367,151420,151118,151461,150921
Tom Green County, TX,114954,116608,118105,118386,118019,118189
Tompkins County, NY,103617,104691,104926,104871,104802,102793
Tooele County, UT,,,,,67456,69907
Travis County, TX,1120954,1151145,1176558,1199323,1226698,1248743
Troup County, GA,69053,69469,69763,70005,69786,70034
Trujillo Alto Municipio, PR,72581,71019,69615,68242,66675,63746
Trumbull County, OH,206442,205175,203751,201825,200380,198627
Tulare County, CA,454143,458198,459863,460437,464493,465861
Tulsa County, OK,622409,629598,639242,642940,646266,648360
Tuscaloosa County, AL,200821,202212,203976,206102,207811,208911
Tuscarawas County, OH,92672,92788,92916,92420,92297,92176
Twin Falls County, ID,79957,80914,82375,83514,85124,86081
Ulster County, NY,180998,180445,180143,179225,179417,178599
Umatilla County, OR,76720,76705,76531,76456,76985,77516
Union County, NC,212756,218568,222742,226606,231366,235908
Union County, NJ,548256,552939,555786,555630,563892,558067
Utah County, UT,551891,560974,575205,592299,606425,622213
Valencia County, NM,76284,75817,75737,75626,75940,76456
Van Buren County, MI,75455,75199,75077,75223,75353,75448
Vanderburgh County, IN,181398,182006,181877,181721,181616,180974
Ventura County, CA,839620,846178,850536,849738,854223,850967
Vermilion County, IL,80329,79728,79282,78111,77909,76806
Victoria County, TX,90028,91081,92382,92467,92084,92035
Vigo County, IN,108291,108175,107896,107931,107516,107386
Virginia Beach city, VA,448479,450980,452745,452602,450435,450189
Volusia County, FL,500800,507531,517887,529364,538692,547538
Wagoner County, OK,75700,75702,76559,77679,78657,80110
Wake County, NC,974289,998691,1024198,1046791,1072203,1092305
Walker County, AL,65998,65471,65294,64967,64058,63711
Walker County, GA,68198,68218,68066,67896,68939,69410
Walker County, TX,68817,69789,70699,71484,72245,72480
Walton County, FL,,,,65889,68376,71375
Walton County, GA,85754,87615,88399,90184,91600,93503
Walworth County, WI,102945,103527,102804,102959,103082,103718
Ward County, ND,67990,69384,71275,70210,68946,67744
Warren County, KY,118370,120460,122851,125532,128845,131264
Warren County, NJ,107379,106917,106869,106617,106798,105779
Warren County, NY,65337,64973,64688,64567,64532,64265
Warren County, OH,219169,221659,224469,227063,228882,232173
Washington County, AR,216410,220792,225477,228049,231996,236961
Washington County, MD,149588,149573,149585,150292,150578,150926
Washington County, MN,246603,249283,251597,253117,256348,259201
Washington County, OR,554996,562998,574326,582779,588957,597695
Washington County, PA,208206,208187,208261,207981,207298,207346
Washington County, RI,126259,126653,126517,126288,126150,126179
Washington County, TN,125546,126242,126302,127440,127806,128607
Washington County, UT,147800,151948,155602,160245,165662,171700
Washington County, WI,132739,133251,133674,134296,135101,135693
Washoe County, NV,433731,440078,446903,453616,460587,465735
Washtenaw County, MI,354240,356874,358880,364709,367627,370963
Waukesha County, WI,393843,395118,396488,398424,400621,403072
Wayne County, IN,67893,67671,67001,66568,66185,65936
Wayne County, MI,1775273,1764804,1759335,1749366,1753616,1753893
Wayne County, NC,124583,124456,124132,124150,124172,123248
Wayne County, NY,92473,92051,91446,90798,90670,90064
Wayne County, OH,115071,115537,116063,116470,116038,115967
Webb County, TX,262495,266673,269721,271193,274794,275910
Weber County, UT,238519,240475,243645,247560,251769,256359
Weld County, CO,269785,277670,285174,294932,304633,314305
Westchester County, NY,968802,972634,976396,974542,980244,967612
Westmoreland County, PA,362437,359320,357956,355458,352627,350611
Whatcom County, WA,206353,208351,212284,216800,221404,225685
White County, AR,78483,78592,79161,79263,79016,78727
Whitfield County, GA,102945,103542,104216,104589,104658,104062
Wichita County, TX,132047,132355,131705,131838,132000,132064
Wicomico County, MD,100896,101539,102370,102577,102923,103195
Wilkes County, NC,69023,68838,68502,68740,68576,68557
Will County, IL,682829,685419,687263,689529,692661,692310
Williamson County, IL,66924,67008,67466,67560,67328,67056
Williamson County, TN,198901,205226,211672,219107,226257,231729
Williamson County, TX,471014,489250,508514,528718,547545,566719
Wilson County, NC,81667,81401,81714,81661,81671,81455
Wilson County, TN,121945,125376,128911,132781,136442,140625
Windham County, CT,117604,116998,116573,116192,116359,117027
Winnebago County, IL,290666,288542,287078,285873,284778,284081
Winnebago County, WI,169541,169511,169546,169886,170414,171020
Wise County, TX,,,,,66181,68305
Wood County, OH,129264,129590,129730,130219,130492,130696
Wood County, WI,73959,73608,73435,73107,73126,73055
Wood County, WV,86569,86237,86452,85643,85104,84203
Woodbury County, IA,102130,102271,102782,102779,102429,102539
Worcester County, MA,809106,813475,818963,819589,826116,830839
Wright County, MN,128470,129918,131311,132550,134286,136349
Wyandotte County, KS,160384,161636,163369,163831,165288,165324
Yakima County, WA,247044,247687,248830,249636,250193,251446
Yamhill County, OR,100725,101758,102659,105035,105722,107002
Yavapai County, AZ,215133,218844,222255,225562,228168,231993
Yellowstone County, MT,154162,155634,157048,158437,158980,160137
Yolo County, CA,204593,207590,213016,215802,219116,220408
York County, ME,199431,200710,201169,202343,204191,206229
York County, PA,438965,440755,442867,443744,446078,448273
York County, SC,239363,245346,251195,258526,266439,274118
York County, VA,66269,66342,67837,67976,67739,67846
Yuba County, CA,73340,73966,74492,75275,77031,78041
Yuma County, AZ,201201,203247,204275,205631,207534,212128
