,County,2013,2014,2015,2016,2017,2018,Data
757,Union County,,,,,,,
831,York County,,,,,,,
931,Cabarrus County,,,,,,,
1110,Gaston County,,,,,,,
1238,Lancaster County,,,,,,,
1315,Mecklenburg County,,,,,,,
1591,Union County,,,,,,,
1665,York County,,,,,,,
1765,Cabarrus County,,,,,,,
1944,Gaston County,,,,,,,
2072,Lancaster County,,,,,,,
2149,Mecklenburg County,,,,,,,
2425,Union County,,,,,,,
2499,York County,,,,,,,
2599,Cabarrus County,,,,,,,
2778,Gaston County,,,,,,,
2906,Lancaster County,,,,,,,
2983,Mecklenburg County,,,,,,,
3259,Union County,,,,,,,
3333,York County,,,,,,,
3433,Cabarrus County,,,,,,,
3612,Gaston County,,,,,,,
3740,Lancaster County,,,,,,,
3817,Mecklenburg County,,,,,,,
4093,Union County,,,,,,,
4167,York County,,,,,,,
4267,Cabarrus County,,,,,,,
4446,Gaston County,,,,,,,
4574,Lancaster County,,,,,,,
4651,Mecklenburg County,,,,,,,
4927,Union County,,,,,,,
5001,York County,,,,,,,
97,Cabarrus County,,,,,,,
276,Gaston County,,,,,,,
404,Lancaster County,,,,,,,
481,Mecklenburg County,,,,,,,
757,Union County,,,,,,,
831,York County,,,,,,,
931,Cabarrus County,,,,,,,
1110,Gaston County,,,,,,,
1238,Lancaster County,,,,,,,
1315,Mecklenburg County,,,,,,,
1591,Union County,,,,,,,
1665,York County,,,,,,,
1765,Cabarrus County,,,,,,,
1944,Gaston County,,,,,,,
2072,Lancaster County,,,,,,,
2149,Mecklenburg County,,,,,,,
2425,Union County,,,,,,,
2499,York County,,,,,,,
2599,Cabarrus County,,,,,,,
2778,Gaston County,,,,,,,
2906,Lancaster County,,,,,,,
2983,Mecklenburg County,,,,,,,
3259,Union County,,,,,,,
3333,York County,,,,,,,
3433,Cabarrus County,,,,,,,
3612,Gaston County,,,,,,,
3740,Lancaster County,,,,,,,
3817,Mecklenburg County,,,,,,,
4093,Union County,,,,,,,
4167,York County,,,,,,,
4267,Cabarrus County,,,,,,,
4446,Gaston County,,,,,,,
4574,Lancaster County,,,,,,,
4651,Mecklenburg County,,,,,,,
4927,Union County,,,,,,,
5001,York County,,,,,,,
