ID Geography,Geography,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),,
05000US48021,"Bastrop County, TX",48652,53631,63129,56508,72107,69067,6460,7506,9381,7795,10428,13636,75825,78069,80527,82733,84761,86976,,
05000US12005,"Bay County, FL",45594,44775,48259,49157,52415,52107,2519,3732,2868,2719,3474,3292,174987,178985,181635,183974,183563,185287,,
05000US26017,"Bay County, MI",41281,46844,46560,44756,44770,50606,4157,3219,4139,3736,3119,2471,106832,106179,105659,104747,104239,103923,,
05000US72021,"Bayamón Municipio, PR",23741,25271,24810,24128,25815,24873,1157,1665,1964,1630,3315,1596,198958,194210,189159,184374,179565,170480,,
05000US45013,"Beaufort County, SC",57122,54996,60257,65919,58847,65607,4787,3378,4069,3010,3693,2684,171838,175852,179589,183149,186844,188715,,
05000US42007,"Beaver County, PA",49937,51222,50128,55221,54923,54660,2986,1496,3553,2403,1953,4327,170115,169392,168871,167429,166140,164742,,
05000US51019,"Bedford County, VA",57000,56996,54062,56479,66327,64084,5448,5291,4922,6188,2678,7730,69825,76583,77724,77960,77974,78747,,
05000US48027,"Bell County, TX",50656,51221,48908,52275,52479,54495,1939,1309,2327,2302,3660,2274,326843,329140,334941,340411,347833,355642,,
05000US39013,"Belmont County, OH",38224,42079,46113,48220,54253,50250,4060,3573,2472,6748,3043,5562,69571,69461,69154,68673,68029,67505,,
05000US05007,"Benton County, AR",56570,56981,58770,63631,63746,67164,2597,3951,3471,3028,2820,4406,237297,242321,249672,258291,266300,272608,,
05000US41003,"Benton County, OR",47808,52486,52852,55459,60260,63773,4436,6621,5818,3522,4579,6403,86591,86316,87572,89385,90951,92101,,
05000US53005,"Benton County, WA",58997,58093,62484,62508,63346,68115,2392,2708,3256,4039,4028,6558,184486,186486,190309,193686,198171,201877,,
05000US34003,"Bergen County, NJ",81670,84677,89023,93683,94107,100361,1288,3148,3201,2945,3217,1745,925328,933572,938506,939151,948406,936692,,
05000US45015,"Berkeley County, SC",50475,52427,56548,59153,57147,62994,2905,2404,3331,2330,3814,4337,194020,198205,202786,210898,217937,221091,,
05000US54003,"Berkeley County, WV",55134,58754,53548,57357,59142,59328,4834,4414,5590,6466,4237,3479,108706,110497,111901,113525,114920,117123,,
05000US42011,"Berks County, PA",56043,56059,56122,59286,61058,62564,2243,1775,1984,2689,1432,1967,413521,413691,415271,414812,417854,420152,,
05000US25003,"Berkshire County, MA",52514,50211,50765,58418,57054,60476,2831,3586,4206,5018,4642,5979,129585,128715,127828,126903,126313,126348,,
05000US35001,"Bernalillo County, NM",48257,47134,47747,50601,51005,51208,2330,1491,1565,1229,1389,1594,674221,675551,676685,676953,676773,678701,,
05000US26021,"Berrien County, MI",44747,44031,46649,47083,48629,51262,2770,2353,2911,2222,2715,3548,155252,155233,154636,154010,154259,154141,,
